tweet,label
have a nice day,Not Bullying
shut up idiot,Bullying
you are worthless,Bullying
nobody likes you,Bullying
great job today,Not Bullying
have a nice day,Not Bullying
that was interesting,Not Bullying
you are so stupid,Bullying
you are worthless,Bullying
you are disgusting,Bullying
have a nice day,Not Bullying
good luck for your exam,Not Bullying
great job today,Not Bullying
thanks for your help,Not Bullying
nah you messed up 😂,Moderate/Light Banter
that was weak haha,Moderate/Light Banter
bro that was kinda dumb lol,Moderate/Light Banter
everyone hates you,Bullying
mid performance ngl,Moderate/Light Banter
you are worthless,Bullying
bro that was kinda dumb lol,Moderate/Light Banter
everyone hates you,Bullying
you are a loser,Bullying
that was weak haha,Moderate/Light Banter
bro that was kinda dumb lol,Moderate/Light Banter
that was interesting,Not Bullying
have a nice day,Not Bullying
bro that was kinda dumb lol,Moderate/Light Banter
see you tomorrow,Not Bullying
thanks for your help,Not Bullying
that was weak haha,Moderate/Light Banter
nobody likes you,Bullying
you are worthless,Bullying
bro that was kinda dumb lol,Moderate/Light Banter
nobody likes you,Bullying
mid performance ngl,Moderate/Light Banter
try harder next time,Moderate/Light Banter
nah you messed up 😂,Moderate/Light Banter
mid performance ngl,Moderate/Light Banter
shut up idiot,Bullying
great job today,Not Bullying
have a nice day,Not Bullying
great job today,Not Bullying
you are disgusting,Bullying
good luck for your exam,Not Bullying
go die,Bullying
mid performance ngl,Moderate/Light Banter
great job today,Not Bullying
good luck for your exam,Not Bullying
see you tomorrow,Not Bullying
you are worthless,Bullying
you are a loser,Bullying
mid performance ngl,Moderate/Light Banter
you are worthless,Bullying
great job today,Not Bullying
nah you messed up 😂,Moderate/Light Banter
that was interesting,Not Bullying
try harder next time,Moderate/Light Banter
nah you messed up 😂,Moderate/Light Banter
nah you messed up 😂,Moderate/Light Banter
you are disgusting,Bullying
see you tomorrow,Not Bullying
thanks for your help,Not Bullying
that was weak haha,Moderate/Light Banter
mid performance ngl,Moderate/Light Banter
go kill yourself,Bullying
that was interesting,Not Bullying
you are so stupid,Bullying
go kill yourself,Bullying
good luck for your exam,Not Bullying
that was interesting,Not Bullying
have a nice day,Not Bullying
you sold bro,Moderate/Light Banter
that was interesting,Not Bullying
see you tomorrow,Not Bullying
have a nice day,Not Bullying
great job today,Not Bullying
you are disgusting,Bullying
try harder next time,Moderate/Light Banter
bro that was kinda dumb lol,Moderate/Light Banter
you sold bro,Moderate/Light Banter
go die,Bullying
shut up idiot,Bullying
good luck for your exam,Not Bullying
have a nice day,Not Bullying
see you tomorrow,Not Bullying
thanks for your help,Not Bullying
good luck for your exam,Not Bullying
you are a loser,Bullying
you are disgusting,Bullying
have a nice day,Not Bullying
see you tomorrow,Not Bullying
bro that was kinda dumb lol,Moderate/Light Banter
you are a loser,Bullying
nah you messed up 😂,Moderate/Light Banter
you are worthless,Bullying
have a nice day,Not Bullying
go die,Bullying
you are disgusting,Bullying
go kill yourself,Bullying
that was interesting,Not Bullying
good luck for your exam,Not Bullying
that was weak haha,Moderate/Light Banter
that was interesting,Not Bullying
you are disgusting,Bullying
great job today,Not Bullying
shut up idiot,Bullying
try harder next time,Moderate/Light Banter
see you tomorrow,Not Bullying
that was weak haha,Moderate/Light Banter
bro that was kinda dumb lol,Moderate/Light Banter
you are worthless,Bullying
you are a loser,Bullying
you are disgusting,Bullying
you are worthless,Bullying
nobody likes you,Bullying
great job today,Not Bullying
you are worthless,Bullying
you are so stupid,Bullying
bro that was kinda dumb lol,Moderate/Light Banter
good luck for your exam,Not Bullying
try harder next time,Moderate/Light Banter
nah you messed up 😂,Moderate/Light Banter
good luck for your exam,Not Bullying
thanks for your help,Not Bullying
that was interesting,Not Bullying
go die,Bullying
nah you messed up 😂,Moderate/Light Banter
nobody likes you,Bullying
that was interesting,Not Bullying
you sold bro,Moderate/Light Banter
you sold bro,Moderate/Light Banter
have a nice day,Not Bullying
great job today,Not Bullying
have a nice day,Not Bullying
everyone hates you,Bullying
see you tomorrow,Not Bullying
you are worthless,Bullying
you are worthless,Bullying
that was interesting,Not Bullying
everyone hates you,Bullying
shut up idiot,Bullying
nah you messed up 😂,Moderate/Light Banter
go die,Bullying
have a nice day,Not Bullying
you are disgusting,Bullying
nobody likes you,Bullying
go kill yourself,Bullying
you sold bro,Moderate/Light Banter
nah you messed up 😂,Moderate/Light Banter
bro that was kinda dumb lol,Moderate/Light Banter
everyone hates you,Bullying
everyone hates you,Bullying
you sold bro,Moderate/Light Banter
you sold bro,Moderate/Light Banter
great job today,Not Bullying
great job today,Not Bullying
that was interesting,Not Bullying
you are worthless,Bullying
nah you messed up 😂,Moderate/Light Banter
you are disgusting,Bullying
you are a loser,Bullying
you are so stupid,Bullying
that was interesting,Not Bullying
thanks for your help,Not Bullying
you are so stupid,Bullying
have a nice day,Not Bullying
nobody likes you,Bullying
have a nice day,Not Bullying
good luck for your exam,Not Bullying
bro that was kinda dumb lol,Moderate/Light Banter
good luck for your exam,Not Bullying
thanks for your help,Not Bullying
nobody likes you,Bullying
try harder next time,Moderate/Light Banter
thanks for your help,Not Bullying
see you tomorrow,Not Bullying
nah you messed up 😂,Moderate/Light Banter
great job today,Not Bullying
nah you messed up 😂,Moderate/Light Banter
you sold bro,Moderate/Light Banter
shut up idiot,Bullying
mid performance ngl,Moderate/Light Banter
you are so stupid,Bullying
that was weak haha,Moderate/Light Banter
have a nice day,Not Bullying
you are disgusting,Bullying
you are disgusting,Bullying
nah you messed up 😂,Moderate/Light Banter
bro that was kinda dumb lol,Moderate/Light Banter
you are a loser,Bullying
nah you messed up 😂,Moderate/Light Banter
that was weak haha,Moderate/Light Banter
see you tomorrow,Not Bullying
great job today,Not Bullying
have a nice day,Not Bullying
thanks for your help,Not Bullying
try harder next time,Moderate/Light Banter
go kill yourself,Bullying
bro that was kinda dumb lol,Moderate/Light Banter
you are disgusting,Bullying
shut up idiot,Bullying
that was weak haha,Moderate/Light Banter
you are a loser,Bullying
shut up idiot,Bullying
that was interesting,Not Bullying
bro that was kinda dumb lol,Moderate/Light Banter
everyone hates you,Bullying
bro that was kinda dumb lol,Moderate/Light Banter
you are a loser,Bullying
shut up idiot,Bullying
go die,Bullying
great job today,Not Bullying
that was weak haha,Moderate/Light Banter
nobody likes you,Bullying
go kill yourself,Bullying
have a nice day,Not Bullying
that was weak haha,Moderate/Light Banter
good luck for your exam,Not Bullying
nah you messed up 😂,Moderate/Light Banter
shut up idiot,Bullying
bro that was kinda dumb lol,Moderate/Light Banter
nah you messed up 😂,Moderate/Light Banter
good luck for your exam,Not Bullying
have a nice day,Not Bullying
that was weak haha,Moderate/Light Banter
that was weak haha,Moderate/Light Banter
good luck for your exam,Not Bullying
go kill yourself,Bullying
everyone hates you,Bullying
go kill yourself,Bullying
see you tomorrow,Not Bullying
try harder next time,Moderate/Light Banter
good luck for your exam,Not Bullying
nah you messed up 😂,Moderate/Light Banter
have a nice day,Not Bullying
bro that was kinda dumb lol,Moderate/Light Banter
nah you messed up 😂,Moderate/Light Banter
go die,Bullying
mid performance ngl,Moderate/Light Banter
you are worthless,Bullying
you are worthless,Bullying
mid performance ngl,Moderate/Light Banter
bro that was kinda dumb lol,Moderate/Light Banter
mid performance ngl,Moderate/Light Banter
thanks for your help,Not Bullying
try harder next time,Moderate/Light Banter
see you tomorrow,Not Bullying
nobody likes you,Bullying
nah you messed up 😂,Moderate/Light Banter
see you tomorrow,Not Bullying
nobody likes you,Bullying
that was interesting,Not Bullying
try harder next time,Moderate/Light Banter
you sold bro,Moderate/Light Banter
thanks for your help,Not Bullying
everyone hates you,Bullying
good luck for your exam,Not Bullying
bro that was kinda dumb lol,Moderate/Light Banter
that was interesting,Not Bullying
you are disgusting,Bullying
great job today,Not Bullying
